Location,Herd,Proposed_Location,Tag,Markings,Sex,Notes,birth_date,age_in_months,organic,Dam,Sire
North Owens,Breeding,Gourly,*Ophelia-P,Jersey-P A2/A2,Cow,"Due5/4/23- ????, by Ivano/Hercules",6/1/10,158,Natural,Sarben,Sarben
North Owens,Breeding,Gourly,*Jade ,Red Devon-149,Cow,"Due 3/21/23- ????, by Ivano/Hercules",5/1/11,147,Natural,Jewel,Red Gulliver
Highpass,Gestating Dairy,Gourly,*Olive,Jersey-140 -A1,Cow,"Due 9/28/23, by Ivano",3/11/14,113,Natural,Ophelia,Julius
Dairy Barn,Wet Dairy,Dairy,*Izzy-P,Jersey-A2/A2 -137,Cow,,11/30/14,105,Natural,Isis ,Julius
North Hay,Main Herd,Gourly,1502,Black tag 19-Lilli,Cow,,1/1/15,103,Natural,Adam Stevens,Adam Stevens
North Hay,Main Herd,Gourly,1501,Dun black points Lucy,Cow,,1/1/15,103,Natural,Adam Stevens,Adam Stevens
Maternity,Nurse Herd,Gourly,*Silk,Staph Aureus LF,Cow,CULL,9/25/15,95,Natural,Bansen-21 ,
North Hay,Main Herd,Gourly,1719,Galloway-white/ points Lavender                                                                                                                                                                                                                                                                                                                                                 ,Cow,,1/1/17,79,Natural,Adam Stevens,Adam Stevens
Dairy Barn,Wet Dairy,Dairy,*Osiria-P,Jersey-128 A1,Cow,,4/28/17,76,Natural,Ophelia,Roberto/
North Hay,Main Herd,Gourly,1809,Brown/Grey Stevens Galloway,Cow,,6/1/17,74,Natural,,
Dairy Barn,Wet Dairy,Dairy,*Roxie,Jersey,Cow,,6/25/17,74,Natural,Bansen-21 ,LJ700
North Owens,Breeding,Gourly,*Mir,Jersey-Ayreshire A1,Cow,"Due5/4/23- ????, by Ivano/Hercules",7/24/17,73,Natural,Matilda,DeForest
North Owens,Breeding,Gourly,*Hibiscus,Jersey-Needs horn trim NT,Heifer,"Due 3/21/23- ????, by Ivano/Hercules",9/12/17,71,Natural,Heni Peni,Juicy
North Owens,Breeding,Gourly,*Reyna,Jersey,Cow,"Due 3/21/23- ????, by Ivano/Hercules",9/14/17,71,Natural,Regina,Zebulan
North Owens,Breeding,Gourly,*Josephina,Jersey-129 A1,Cow,"Due 3/21/23- ????, by Ivano/Hercules",9/15/17,71,Natural,Jade,Roberto/
North Owens,Breeding,Gourly,*Regina,Jersey-A2/A2,Cow,"Due 3/21/23- ????, by Ivano/Hercules",9/16/17,71,Natural,Revel,Banson
North Owens,Breeding,Gourly,*Isela,Jersey,Heifer,"Due 3/21/23- ????, by Ivano/Hercules",9/17/17,71,Natural,Izzy,Oliver P
Maternity,Nurse Herd,Gourly,*Ginger,Jersey A1,Cow,"Exposed to Domino,due 1/26/24",9/18/17,71,Natural,Olive,Juicy
North Owens,Breeding,Gourly,*Heidi,Jersey A1,Heifer,"Due 3/21/23- ????, by Ivano/Hercules",9/20/17,71,Natural,Helena,Juicy
Maternity,Nurse Herd,Gourly,*Bea,Jersey NT,Heifer,,12/17/17,68,Natural,Bella,Arny/Sam
Dairy Barn,Wet Dairy,Dairy,*Imogen-P,Jersey-A2/A2,Heifer,,4/15/18,64,Natural,Ivana,Juicy/Sam/Arnold
Dairy Barn,Wet Dairy,Dairy,*Ivy-P,Jersey-A2/A2,Cow,,4/17/18,64,Natural,Izzy,Sam
North Owens,Breeding,Gourly,*Russia,Jersey- A1,Heifer,"Due5/4/23- ????, by Ivano/Hercules",5/23/18,63,Natural,Reyna,Arnold
Dairy Barn,Wet Dairy,Dairy,*Nutmeg,Jersey- A1,Heifer,2023 lost calf at birth,6/3/18,62,Natural,Butter,Arnold
Red Tail,Finishers,Gourly,*Hazelnut-P,Jersey-A2/A2,Heifer,"Exposed to Ivano, if setttles due 10/6/23- 12/27/23",8/10/18,60,Natural,H. Penni,Arnold
North Owens,Breeding,Gourly,*Olga,Jersey- A1,Heifer,"Due 3/21/23- ????, by Ivano/Hercules",8/19/18,60,Natural,Olive,Arnold
North Owens,Breeding,Gourly,*Bombay,Jersey A1,Heifer,"Due 3/21/23- ????, by Ivano/Hercules",9/7/18,59,Natural,Bambi,Arnold/Sam?
Highpass,Gestating Dairy,Gourly,*Belen-P,JerseyX-A2/A2,Heifer,"Due 11/29/23, by Ivano",10/24/18,58,Natural,Bella,Arnold/Sam?
Dairy Barn,Wet Dairy,Dairy,*Italy,,Cow,"Due 7/1/23, by Ivano",7/1/19,49,Natural,Bansen-21 ,
Dairy Barn,Wet Dairy,Dairy,*Catalan,,Cow,AKA Café,7/21/19,49,Natural,Bansen-21 ,Solaris 190X31 
Highpass,Gestating Dairy,Gourly,*Rosa,NT Jersey needs horn trim,Heifer,"Due 7/31/23, by Ivano",8/18/19,48,Natural,Roma,Oliver P
North Hay,Main Herd,Gourly,1932,Devine Black,Cow,,10/1/19,46,Natural,Banson,Simmental
North Hay,Main Herd,Gourly,1933,Black/brown 1/2 simmentalXjersey,Cow,,10/2/19,46,Natural,Banson,Simmental
North Owens,Breeding,Gourly,1929-Ivano,Jersey w/Line A2/A2,Bull,AKA Ivan the terri-bull or Ivano,10/16/19,46,Natural,Ivana,Shaggy-P
Dairy Barn,Wet Dairy,Dairy,*Honey-P,Jersey A2/A2,Heifer,"Due 3/24/23-???, by Ivano",11/10/19,45,Natural,H. Penni,Shaggy-P
Dairy Barn,Wet Dairy,Dairy,*Olivia,Jersey,Heifer,"Due 6/8/23, by Ivano",11/11/19,45,Natural,Ophelia,Shaggy-P
Two Rivers,Finishers,Gourly,*Rabia,too stunted to grow,Heifer,,12/3/19,44,Natural,Reyna,Shaggy-P
Dairy Barn,Wet Dairy,Dairy,*Quesa,Jersey NT,Heifer,,12/9/19,44,Natural,Quince,Oliver P
